"product_id","pname","brand","description","price","quantity","create_time","cate_id","sold","rating"
"12ce8dfc-def9-4989-8e88-85efdaf71031","Laptop Lenovo Legion 7 16IRX9 83FD004MVN","Lenovo","Laptop Lenovo Legion 7 16IRX9 83FD004MVN sở hữu cấu hình cực khủng khi được trang bị chip Intel Core i9-14900HX, VGA NVIDIA GeForce RTX 4070 cùng 32GB RAM và ổ cứng SSD 512GB. Với màn hình 16 inch 3.2K, người dùng sẽ luôn trải nghiệm được những khung hình với độ sắc nét cao, mượt mà trong quá trình làm việc, chơi game. Đi kèm laptop Lenovo Legion này là một thiết kế cứng cáp, mạnh mẽ và sang trọng để phù hợp sử dụng trong nhiều không gian.",62990000,100,"2024-11-13 22:35:34.534518","c02",0,0


"13cf029b-44b4-41db-a59c-d8126f3e5787","Xiaomi Pad 6S Pro Wifi 8GB 256GB","Xiaomi","Máy tính bảng Xiaomi Pad 6S Pro là sản phẩm cao cấp với thiết kế sang trọng, khung viền chắc chắn và mặt lưng nhám mịn, giúp hạn chế dấu vân tay. Màn hình lớn 12.4 inch độ phân giải 3K, tần số quét 144Hz, mang đến trải nghiệm hình ảnh sắc nét và mượt mà. Với vi xử lý Snapdragon 8 Gen 2 cùng RAM lên đến 8GB, máy cho hiệu năng mạnh mẽ, phù hợp cả cho công việc lẫn giải trí. Pin 10.000mAh và sạc nhanh 120W đảm bảo thời gian sử dụng dài. Máy cũng có kết nối Wi-Fi hiện đại trải nghiệm mạng nhanh chóng.",13990000,100,"2024-11-13 22:10:26.795981","c03",0,0
"24e1359a-30a2-4e1d-82a8-87b4c024d8a9","iPhone 15 Pro Max","Apple","iPhone 15 Pro Max sở hữu màn hình Super Retina XDR OLED 6.7 inches với độ phân giải 2796 x 1290 pixels, cung cấp trải nghiệm hình ảnh sắc nét, chân thực. So với các phiên bản tiền nhiệm, thế hệ iPhone 15 bản Pro Max đảm bảo mang tới hiệu năng mạnh mẽ với sự hỗ trợ của chipset Apple A17 Pro, cùng bộ nhớ ấn tượng. Đặc biệt hơn, điện thoại iPhone 15 ProMax mới này còn được đánh giá cao với camera sau 48MP và camera trước 12MP, hỗ trợ chụp ảnh với độ rõ nét cực đỉnh.",29490000,130,"2024-11-13 22:02:49.511128","c01",0,0
"31b18c45-8b08-41db-932d-b15cae02bfbd","iPad Pro M4 13 inch Wifi 1TB Nano","Apple","Màn hình Ultra Retina XDR công nghệ OLED hai lớp siêu mỏng.Chip Apple M4 cho hiệu năng như mơ, hoàn thành tác vụ đồ họa nhẹ nhàng.Pin dùng cả ngày để làm việc, học tập, sáng tạo và giải trí.Trang bị magic Keyboard, Apple Pencil Pro, Wi-Fi 6E, kết nối 5G.",55990000,100,"2024-11-13 22:08:27.045132","c03",0,0
"3c3bc238-95c9-4a65-a054-85afd23bfec3","Tai nghe Bluetooth chụp tai Sony WH-CH520","Sony","Đặc điểm nổi bật
Âm thanh kỹ thuật số DSEE cho chất âm chân thực, sống động trong từng nốt nhạc
Thiết kế hiện đại, màu sắc thanh lịch cùng trọng lượng nhẹ giúp dễ dàng mang theo
Thời gian sử dụng đến 40 giờ, cho bạn thoả sức trải nghiệm mà không lo gián đoạn
Tích hợp micro có khả năng chống ồn tốt mang đến chất lượng đàm thoại rõ nét hơn
Tai nghe Sony WH-CH520 sở hữu âm thanh kỹ thuật số DSEE giúp mang lại âm thanh chân thực cùng với đó là pin cho thời gian sử dụng tới 40 giờ. Bên cạnh đó, sản phẩm tai nghe Sony này sở hữu thiết kế khá gọn nhẹ cùng với thiết kế tích hợp micro vô cùng tiện lợi.

Vì sao nên mua tai nghe Sony WH-CH520
Sony là một thương hiệu âm thanh chất lượng với các sản phẩm đạt yêu cầu cao. Vậy Sony WH-CH520 có mang những đặc điểm của sản phẩm Sony trước đó, có đáng mua sử dụng không?

-  Âm thanh kỹ thuật số DSEE: Mang lại âm thanh sống động và chân thực trong từng nốt nhạc

-  Pin sử dụng 40 giờ: Giúp người dùng thỏa sức trải nghiệm giải trí mà không lo gián đoạn

-  Micro chống ồn: Mang lại khả năng đàm thoại với âm thanh rõ nét",1090000,103,"2024-11-13 23:17:57.843078","c05",0,0

"45b85f39-978a-483c-a630-04dada3541de","Đồng hồ thông minh Huawei Watch Fit 3","Huawei","Đặc điểm nổi bật
Thiết kế viền siêu mỏng, mang lại cảm giác nhẹ tay, thoải mái
Màn hình 1.82 inch Amoled rất sắc nét, hình vuông tràn viền
Tích hợp công nghệ giúp chăm sóc sức khoẻ cực tốt
Có nhiều chức năng tập luyện thể thao tiện lợi, hiện đại
Huawei Watch Fit 3 chính là món phụ kiện hữu ích giúp bạn theo dõi các chỉ số sức khỏe đồng thời là một người bạn đồng hành trong quá trình tập luyện lý tưởng với nhiều tính năng tập luyện, huấn luyện viên ảo,…trong một mức giá hợp lý, hấp dẫn.
- Màn hình AMOLED 1.82 inch : Chất lượng hiển thị sắc nét với 347 PPI và độ sáng 1500 nits, rõ ràng dưới mọi ánh sáng;

- Theo dõi sức khỏe toàn diện : Cung cấp dữ liệu nhịp tim, chỉ số SpO2, giấc ngủ, và sức khỏe phụ nữ;

- Hơn 100 chế độ luyện tập và GPS tích hợp : Giúp quản lý hoạt động thể chất một cách hiệu quả

- Thời lượng pin lâu dài : Dung lượng 400mAh trên Huawei Fit 3 cho phép sử dụng tối đa 10 ngày và trung bình 7 ngày;

- Hỗ trợ gọi thoại và nhận thông báo thông qua Bluetooth, không bỏ lỡ bất kỳ thông báo quan trọng nào;

- Theo dõi lượng calo tiêu thụ và nhật ký ăn uống, giúp theo dõi quản lý sức khoẻ một cách khoa học;

- Trang bị núm xoay cho phép phóng to thu nhỏ màn hình ứng dụng, điều chỉnh âm lượng hay cuộn lên xuống danh sách;",2790000,253,"2024-11-13 23:40:32.51956","c04",0,0
"48675c1d-3472-4522-be6b-37893d075aad","Apple Watch Series 9 45mm (GPS) viền nhôm dây cao su | Chính hãng Apple Việt Nam","Apple","Đặc điểm nổi bật
Trang bị chip S9 SiP mạnh mẽ hỗ trợ xử lý mọi tác vụ nhanh chóng với nhiều tiện ích
Dễ dàng kết nối, nghe gọi, trả lời tin nhắn ngay trên cổ tay
Trang bị nhiều tính năng sức khỏe như: Đo nhịp tim, điện tâm đồ, đo chu kỳ kinh nguyệt,...
Độ sáng tối đa lên tới 2000 nit, dễ xem màn hình ngay dưới ánh nắng gắt
Tích hợp nhiều chế độ tập luyện với các môn thể thao như: Bơi lội, chạy bộ, đạp xe,...
Đồng hồ Apple Watch Series 9 45mm sở hữu on chip S9 SiP - CPU với 5,6 tỷ bóng bán dẫn giúp mang lại hiệu năng cải thiện hơn 60% so với thế hệ S8. Màn hình thiết bị với kích thước 45mm cùng độ sáng tối đa lên 2000 nit mang lại trải nghiệm hiển thị vượt trội. Cùng với đó, đồng hồ Apple Watch s9 này còn được trang bị nhiều tính năng hỗ trợ theo dõi sức khỏe và tập luyện thông minh.

Apple Watch Series 9 45mm - Thiết kế sang trọng, tính năng mới mẻ
Apple Watch 9 45mm có chất lượng hiển thị rất sắc nét, độ sáng cao lên tới 2.000 nits. Bên cạnh đó, thiết bị tích hợp cả tính năng Double Tap hiện đại, mở ứng dụng tương ứng nhanh chóng hơn. 

Thiết kế bo cong, màn hình độ sáng cao
Tổng thể ngoại hình của chiếc đồng hồ này khá nhỏ gọn, đường góc cạnh cong mềm mại, nhìn trông khá bắt mắt. ",10790000,254,"2024-11-13 23:42:35.809665","c04",0,0
